index,school,city,threshold,address,city_clean,threshold_idx,RSPO,match_score,matched_nazwa,nazwa_szkoły,miejscowosc,PPP_mean,O_zdawalnosc,match_key,organ_prowadzacy,wojewodztwo,liczba_uczniow,miejscowosc_rspo,nazwa_rspo,specyfika
92,IV LO im. Komisji Edukacji Narodowej,Poznaniu,161.15555555555554,Poznań ul. Swojska 6 60-592 Poznań-Jeżyce Jeżyce,Poznań,92,31841,76,IV LICEUM OGÓLNOKSZTAŁCĄCE IM. KOMISJI EDUKACJI NARODOWEJ,IV LICEUM OGÓLNOKSZTAŁCĄCE IM. KOMISJI EDUKACJI NARODOWEJ,Poznań,72.33323730333333,99.76190476333333,iv liceum ogólnokształcące im. komisji edukacji narodowej,Miasto na prawach powiatu,WIELKOPOLSKIE,684.0,Poznań-Jeżyce,IV LICEUM OGÓLNOKSZTAŁCĄCE IM. KOMISJI EDUKACJI NARODOWEJ,ogólnodostępny
95,IV LO im. Stefana Żeromskiego,Wroclaw,154.29444444444445,ul. Stacha Świstackiego 12-14 50-430 Wrocław Krzyki,Wrocław,95,11475,71,LICEUM OGÓLNOKSZTAŁCĄCE NR IV IM. STEFANA ŻEROMSKIEGO,LICEUM OGÓLNOKSZTAŁCĄCE NR IV IM. STEFANA ŻEROMSKIEGO,Wrocław,70.71708918,99.8015873,liceum ogólnokształcące nr iv im. stefana żeromskiego,Miasto na prawach powiatu,DOLNOŚLĄSKIE,958.0,Wrocław-Krzyki,LICEUM OGÓLNOKSZTAŁCĄCE NR IV IM. STEFANA ŻEROMSKIEGO,ogólnodostępny
98,IV LO im. Tadeusza Kościuszki,Toruniu,161.66,ul. Warszawska 1/5 87-100 Toruń Stare Miasto,Toruń,98,84029,74,IV LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA KOŚCIUSZKI,IV LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA KOŚCIUSZKI,Toruń,70.15190212666667,100.0,iv liceum ogólnokształcące im. tadeusza kościuszki,Miasto na prawach powiatu,KUJAWSKO-POMORSKIE,665.0,Toruń,IV LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA KOŚCIUSZKI,ogólnodostępny
101,IV Liceum Ogólnokształcące im. KEN,Bielsku-Białej,137.73749999999998,ul. prof. dr. Mieczysława Michałowicza 55 43-300 Bielsko-Biała,Bielsku-Białej,101,8579,88,II LICEUM OGÓLNOKSZTAŁCĄCE,II LICEUM OGÓLNOKSZTAŁCĄCE,Choszczno,49.6,60.0,ii liceum ogólnokształcące,Powiat ziemski,ZACHODNIOPOMORSKIE,0.0,Choszczno,II LICEUM OGÓLNOKSZTAŁCĄCE,
106,IX LO im. Jarosława Dąbrowskiego,Łodzi,97.375,ul. Ignacego Paderewskiego 24 93-025 Łódź Górna,Łódź,106,22524,76,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. JAROSŁAWA DĄBROWSKIEGO,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. JAROSŁAWA DĄBROWSKIEGO,Łódź,63.633701136666666,98.54972148999998,ix liceum ogólnokształcące im. jarosława dąbrowskiego,Miasto na prawach powiatu,ŁÓDZKIE,550.0,Łódź-Górna,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. JAROSŁAWA DĄBROWSKIEGO,ogólnodostępny
107,IX LO im. Juliusza Słowackiego,Wroclaw,165.20666666666668,ul. ks. Piotra Skargi 31 50-082 Wrocław Stare Miasto,Wrocław,107,68270,72,LICEUM OGÓLNOKSZTAŁCĄCE NR IX IM. JULIUSZA SŁOWACKIEGO,LICEUM OGÓLNOKSZTAŁCĄCE NR IX IM. JULIUSZA SŁOWACKIEGO,Wrocław,74.37481848666667,99.87834550000001,liceum ogólnokształcące nr ix im. juliusza słowackiego,Miasto na prawach powiatu,DOLNOŚLĄSKIE,1185.0,Wrocław-Stare Miasto,LICEUM OGÓLNOKSZTAŁCĄCE NR IX IM. JULIUSZA SŁOWACKIEGO,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum"
109,IX LO im. Kazimierza Jagiellończyka,Toruniu,115.77499999999999,ul. Ludwika Rydygiera 12A 87-100 Toruń Rubinkowo,Toruń,109,8803,76,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. KAZIMIERZA JAGIELOŃCZYKA,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. KAZIMIERZA JAGIELOŃCZYKA,Toruń,57.63793707666667,91.95418944666666,ix liceum ogólnokształcące im. kazimierza jagielończyka,Miasto na prawach powiatu,KUJAWSKO-POMORSKIE,791.0,Toruń,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. KAZIMIERZA JAGIELLOŃCZYKA,ogólnodostępny
110,IX LO im. Klementyny Hoffmanowej,Warszawie,176.86666666666665,ul. Hoża 88 00-682 Warszawa Śródmieście,Warszawa,110,27858,76,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. KLEMENTYNY HOFFMANOWEJ,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. KLEMENTYNY HOFFMANOWEJ,Warszawa,83.19634836333334,100.0,ix liceum ogólnokształcące im. klementyny hoffmanowej,Miasto na prawach powiatu,MAZOWIECKIE,1165.0,Śródmieście,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. KLEMENTYNY HOFFMANOWEJ,ogólnodostępny
112,IX LO im. Marszałka Józefa Piłsudskiego,Gdyni,148.45,ul. Orłowska 57 81-542 Gdynia Orłowo,Gdyni,112,3957,77,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO,Gdynia,66.67010501333333,99.26832066666667,ix liceum ogólnokształcące im. marszałka józefa piłsudskiego,Miasto na prawach powiatu,POMORSKIE,719.0,Gdynia,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO,ogólnodostępny
117,IX Liceum Ogólnokształcące w Białymstoku Zespołu Szkół Ogólnokształcących I Technicznych w Białymstoku,Białymstoku,59.116666666666674,Białystok ul. Antoniuk Fabryczny 1 15-762 Białystok,Białystok,117,71604,100,IX LICEUM OGÓLNOKSZTAŁCĄCE W BIAŁYMSTOKU ZESPOŁU SZKÓŁ OGÓLNOKSZTAŁCĄCYCH I TECHNICZNYCH W BIAŁYMSTOKU,IX LICEUM OGÓLNOKSZTAŁCĄCE W BIAŁYMSTOKU ZESPOŁU SZKÓŁ OGÓLNOKSZTAŁCĄCYCH I TECHNICZNYCH W BIAŁYMSTOKU,Białystok,39.07061178,65.52059052,ix liceum ogólnokształcące w białymstoku zespołu szkół ogólnokształcących i technicznych w białymstoku,Miasto na prawach powiatu,PODLASKIE,423.0,Białystok,IX LICEUM OGÓLNOKSZTAŁCĄCE IM. GENERAŁA LUDWIKA KMICICA-SKRZYŃSKIEGO W BIAŁYMSTOKU ZESPOŁU SZKÓŁ OGÓLNOKSZTAŁCĄCYCH I TECHNICZNYCH W BIAŁYMSTOKU,"ogólnodostępny, mistrzostwa sportowego"
118,Katolickie Liceum Ogólnokształcące im. Św. Maksymiliana Marii Kolbego,Szczecinie,140.71666666666667,al. Wojska Polskiego 76 70-481 Szczecin,Szczecin,118,79348,100,KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. ŚW. MAKSYMILIANA MARII KOLBEGO,KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. ŚW. MAKSYMILIANA MARII KOLBEGO,Szczecin,75.8477077,100.0,katolickie liceum ogólnokształcące im. św. maksymiliana marii kolbego,Organizacje Wyznaniowe,ZACHODNIOPOMORSKIE,178.0,Szczecin,KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. ŚW. MAKSYMILIANA MARII KOLBEGO,ogólnodostępny
119,Katolickie Liceum Ogólnokształcące im. Św. Stanisława Kostki w Kielcach,Kielcach,139.18333333333334,ul. Świętego Stanisława Kostki 17 25-341 Kielce,Kielce,119,89596,100,KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. ŚW. STANISŁAWA KOSTKI W KIELCACH,KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. ŚW. STANISŁAWA KOSTKI W KIELCACH,Kielce,66.40387270000001,100.0,katolickie liceum ogólnokształcące im. św. stanisława kostki w kielcach,Organizacje Wyznaniowe,ŚWIĘTOKRZYSKIE,359.0,Kielce,KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. ŚW. STANISŁAWA KOSTKI W KIELCACH,ogólnodostępny
121,LI LO im. Tadeusza Kościuszki,Warszawie,105.97500000000001,ul. Kadrowa 9 04-421 Warszawa Rembertów,Warszawa,121,59581,74,LI LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA KOŚCIUSZKI,LI LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA KOŚCIUSZKI,Warszawa,63.127824669999995,98.91444818000001,li liceum ogólnokształcące im. tadeusza kościuszki,Miasto na prawach powiatu,MAZOWIECKIE,505.0,Rembertów,LI LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA KOŚCIUSZKI,ogólnodostępny
123,LIX LO Mistrzostwa Sportowego im. Janusza Kusocińskiego,Warszawie,111.60789473684211,ul. Samuela Bogumiła Lindego 20 01-952 Warszawa Bielany,Warszawa,123,27158,81,LIX LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO IM. JANUSZA KUSOCIŃSKIEGO,LIX LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO IM. JANUSZA KUSOCIŃSKIEGO,Warszawa,58.338172533333335,85.87345415,lix liceum ogólnokształcące mistrzostwa sportowego im. janusza kusocińskiego,Miasto na prawach powiatu,MAZOWIECKIE,705.0,Bielany,LIX LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO IM. JANUSZA KUSOCIŃSKIEGO,"ogólnodostępny, mistrzostwa sportowego"
128,LV Liceum Ogólnokształcące w Zespole Szkół Elektroniczno-informatycznych im. Jana Szczepanika,Łodzi,59.3,ul. Strykowska 10/18 91-725 Łódź Bałuty,Łódź,128,38983,78,TECHNIKUM NR 10 W ZESPOLE SZKÓŁ ELEKTRONICZNO-INFORMATYCZNYCH IM. JANA SZCZEPANIKA,TECHNIKUM NR 10 W ZESPOLE SZKÓŁ ELEKTRONICZNO-INFORMATYCZNYCH IM. JANA SZCZEPANIKA,Łódź,57.93244838,99.58333333499999,technikum nr 10 w zespole szkół elektroniczno-informatycznych im. jana szczepanika,Miasto na prawach powiatu,ŁÓDZKIE,550.0,Łódź-Bałuty,TECHNIKUM NR 10 W ZESPOLE SZKÓŁ ELEKTRONICZNO-INFORMATYCZNYCH IM. JANA SZCZEPANIKA,"ogólnodostępny, wielozawodowy"
129,LVI LO im. Rotmistrza Witolda Pileckiego,Warszawie,134.54285714285714,ul. Dzieci Warszawy 42 02-495 Warszawa Ursus,Warszawa,129,105214,78,LVI LICEUM OGÓLNOKSZTAŁCĄCE IM. ROTMISTRZA WITOLDA PILECKIEGO,LVI LICEUM OGÓLNOKSZTAŁCĄCE IM. ROTMISTRZA WITOLDA PILECKIEGO,Warszawa,64.58431111,92.85147049,lvi liceum ogólnokształcące im. rotmistrza witolda pileckiego,Miasto na prawach powiatu,MAZOWIECKIE,585.0,Ursus,LVI LICEUM OGÓLNOKSZTAŁCĄCE IM. ROTMISTRZA WITOLDA PILECKIEGO,ogólnodostępny
130,LVIII LO im. Krzysztofa Kamila Baczyńskiego,Warszawie,132.025,Warszawa ul. Górnośląska 31 00-432 Śródmieście Śródmieście,Warszawa,130,27812,79,LVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. KRZYSZTOFA KAMILA BACZYŃSKIEGO,LVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. KRZYSZTOFA KAMILA BACZYŃSKIEGO,Warszawa,69.14434434333333,98.44444444666665,lviii liceum ogólnokształcące im. krzysztofa kamila baczyńskiego,Miasto na prawach powiatu,MAZOWIECKIE,515.0,Śródmieście,LVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. KRZYSZTOFA KAMILA BACZYŃSKIEGO,ogólnodostępny
134,LXIV LO im. Stanisława Ignacego Witkiewicza,Warszawie,176.1875,ul. Elbląska 51 01-737 Warszawa Żoliborz,Warszawa,134,39649,72,"LXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWA IGNACEGO WITKIEWICZA ""WITKACEGO""","LXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWA IGNACEGO WITKIEWICZA ""WITKACEGO""",Warszawa,79.64751512666668,100.0,"lxiv liceum ogólnokształcące im. stanisława ignacego witkiewicza ""witkacego""",Miasto na prawach powiatu,MAZOWIECKIE,504.0,Żoliborz,"LXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWA IGNACEGO WITKIEWICZA ""WITKACEGO",o charakterze eksperymentalnym
135,LXIX Liceum Ogólnokształcące Z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944 w Warszawie,Warszawie,140.20999999999998,ul. Stanisława Skarżyńskiego 8 02-377 Warszawa Ochota,Warszawa,135,29239,100,LXIX LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. BOHATERÓW POWSTANIA WARSZAWSKIEGO 1944 W WARSZAWIE,LXIX LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. BOHATERÓW POWSTANIA WARSZAWSKIEGO 1944 W WARSZAWIE,Warszawa,62.93904485666667,94.78195659666666,lxix liceum ogólnokształcące z oddziałami integracyjnymi im. bohaterów powstania warszawskiego 1944 w warszawie,Miasto na prawach powiatu,MAZOWIECKIE,504.0,Ochota,LXIX LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. BOHATERÓW POWSTANIA WARSZAWSKIEGO 1944 W WARSZAWIE,"ogólnodostępny, integracyjny, sportowy"
137,LXVII LO im. Jana Nowaka-Jeziorańskiego,Warszawie,170.67499999999998,ul. Hoża 11/15 00-528 Warszawa Śródmieście,Warszawa,137,30253,77,LXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA NOWAKA-JEZIORAŃSKIEGO,LXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA NOWAKA-JEZIORAŃSKIEGO,Warszawa,77.95142271333333,100.0,lxvii liceum ogólnokształcące im. jana nowaka-jeziorańskiego,Miasto na prawach powiatu,MAZOWIECKIE,571.0,Śródmieście,LXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA NOWAKA-JEZIORAŃSKIEGO,ogólnodostępny
138,LXVIII LO im. Tytusa Chałubińskiego,Warszawie,120.41666666666667,ul. Ludwika Narbutta 31 02-536 Warszawa Mokotów,Warszawa,138,24346,75,LXVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. TYTUSA CHAŁUBIŃSKIEGO,LXVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. TYTUSA CHAŁUBIŃSKIEGO,Warszawa,61.01150223,91.63314375666668,lxviii liceum ogólnokształcące im. tytusa chałubińskiego,Miasto na prawach powiatu,MAZOWIECKIE,567.0,Mokotów,LXVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. TYTUSA CHAŁUBIŃSKIEGO,ogólnodostępny
139,LXX LO im. Aleksandra Kamińskiego,Warszawie,166.98,ul. Edwarda Dembowskiego 1 02-784 Warszawa Ursynów,Warszawa,139,19073,74,LXX LICEUM OGÓLNOKSZTAŁCĄCE IM. ALEKSANDRA KAMIŃSKIEGO,LXX LICEUM OGÓLNOKSZTAŁCĄCE IM. ALEKSANDRA KAMIŃSKIEGO,Warszawa,76.06834386333333,100.0,lxx liceum ogólnokształcące im. aleksandra kamińskiego,Miasto na prawach powiatu,MAZOWIECKIE,655.0,Ursynów,LXX LICEUM OGÓLNOKSZTAŁCĄCE IM. ALEKSANDRA KAMIŃSKIEGO,ogólnodostępny
140,LXXII LO im. gen. Jakuba Jasińskiego,Warszawie,133.96875,ul. Grochowska 346/348 03-838 Warszawa Praga-Południe,Warszawa,140,88067,75,LXXII LICEUM OGÓLNOKSZTAŁCĄCE IM. GEN. JAKUBA JASIŃSKIEGO,LXXII LICEUM OGÓLNOKSZTAŁCĄCE IM. GEN. JAKUBA JASIŃSKIEGO,Warszawa,62.153566626666674,97.66165364333334,lxxii liceum ogólnokształcące im. gen. jakuba jasińskiego,Miasto na prawach powiatu,MAZOWIECKIE,649.0,Praga-Południe,LXXII LICEUM OGÓLNOKSZTAŁCĄCE IM. GEN. JAKUBA JASIŃSKIEGO,ogólnodostępny
141,LXXV LO im. Jana III Sobieskiego,Warszawie,150.05,ul. Czerniakowska 128 00-454 Warszawa Śródmieście,Warszawa,141,30254,73,LXXV LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA III SOBIESKIEGO,LXXV LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA III SOBIESKIEGO,Warszawa,75.81461832999999,98.55747649333334,lxxv liceum ogólnokształcące im. jana iii sobieskiego,Miasto na prawach powiatu,MAZOWIECKIE,741.0,Śródmieście,LXXV LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA III SOBIESKIEGO,ogólnodostępny
142,LXXVI Liceum Ogólnokształcące im. Marszałka Józefa Piłsudskiego,Warszawie,118.20833333333333,ul. Kowelska 1 03-432 Warszawa Praga-Północ,Warszawa,142,21092,100,LXXVI LICEUM OGÓLNOKSZTAŁCĄCE IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO,LXXVI LICEUM OGÓLNOKSZTAŁCĄCE IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO,Warszawa,61.10126456333333,89.91294511000001,lxxvi liceum ogólnokształcące im. marszałka józefa piłsudskiego,Miasto na prawach powiatu,MAZOWIECKIE,735.0,Praga-Północ,LXXVI LICEUM OGÓLNOKSZTAŁCĄCE IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO,"ogólnodostępny, integracyjny"
143,LXXVIII LO im. Marii Pawlikowskiej-Jasnorzewskiej,Warszawie,137.45166666666668,ul. Anieli Krzywoń 3 01-391 Warszawa Bemowo,Warszawa,143,43385,81,LXXVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII PAWLIKOWSKIEJ-JASNORZEWSKIEJ,LXXVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII PAWLIKOWSKIEJ-JASNORZEWSKIEJ,Warszawa,72.44717308666667,99.77628635333333,lxxviii liceum ogólnokształcące im. marii pawlikowskiej-jasnorzewskiej,Miasto na prawach powiatu,MAZOWIECKIE,908.0,Bemowo,LXXVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII PAWLIKOWSKIEJ-JASNORZEWSKIEJ,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum"
145,LXXXI LO im. Aleksandra Fredry,Warszawie,164.51666666666668,ul. Miła 7 00-180 Warszawa Śródmieście,Warszawa,145,22927,72,LXXXI LICEUM OGÓLNOKSZTAŁCĄCE IM. ALEKSANDRA FREDRY,LXXXI LICEUM OGÓLNOKSZTAŁCĄCE IM. ALEKSANDRA FREDRY,Warszawa,80.69553758666666,100.0,lxxxi liceum ogólnokształcące im. aleksandra fredry,Miasto na prawach powiatu,MAZOWIECKIE,537.0,Śródmieście,LXXXI LICEUM OGÓLNOKSZTAŁCĄCE IM. ALEKSANDRA FREDRY,ogólnodostępny
146,LXXXIII LO im. Emiliana Konopczyńskiego,Warszawie,157.63750000000002,Warszawa ul. Emiliana Konopczyńskiego 4 00-335 Śródmieście Śródmieście,Warszawa,146,31063,77,LXXXIII LICEUM OGÓLNOKSZTAŁCĄCE IM. EMILIANA KONOPCZYŃSKIEGO,LXXXIII LICEUM OGÓLNOKSZTAŁCĄCE IM. EMILIANA KONOPCZYŃSKIEGO,Warszawa,72.16807663666667,100.0,lxxxiii liceum ogólnokształcące im. emiliana konopczyńskiego,Miasto na prawach powiatu,MAZOWIECKIE,667.0,Śródmieście,LXXXIII LICEUM OGÓLNOKSZTAŁCĄCE IM. EMILIANA KONOPCZYŃSKIEGO,ogólnodostępny
147,LXXXIV Liceum Ogólnokształcące im. Bohaterów Narwiku,Warszawie,152.02499999999998,ul. Gładka 16 02-172 Warszawa Włochy,Warszawa,147,46647,100,LXXXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. BOHATERÓW NARWIKU,LXXXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. BOHATERÓW NARWIKU,Warszawa,70.34033613666666,100.0,lxxxiv liceum ogólnokształcące im. bohaterów narwiku,Miasto na prawach powiatu,MAZOWIECKIE,134.0,Włochy,LXXXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. BOHATERÓW NARWIKU,ogólnodostępny
149,LXXXVII Liceum Ogólnokształcące im. Gen. Leopolda Okulickiego,Warszawie,123.0,ul. Saska 78 03-914 Warszawa Praga-Południe,Warszawa,149,30629,100,LXXXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. GEN. LEOPOLDA OKULICKIEGO,LXXXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. GEN. LEOPOLDA OKULICKIEGO,Warszawa,64.22087212,84.67261904666667,lxxxvii liceum ogólnokształcące im. gen. leopolda okulickiego,Miasto na prawach powiatu,MAZOWIECKIE,300.0,Praga-Południe,LXXXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. GEN. LEOPOLDA OKULICKIEGO,ogólnodostępny
150,LXXXVIII LO im. Michała Konarskiego,Warszawie,68.23333333333333,ul. Okopowa 55a 01-043 Warszawa Wola,Warszawa,150,34665,75,LXXXVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. MICHAŁA KONARSKIEGO,LXXXVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. MICHAŁA KONARSKIEGO,Warszawa,60.91467763666666,86.24337059666668,lxxxviii liceum ogólnokształcące im. michała konarskiego,Miasto na prawach powiatu,MAZOWIECKIE,321.0,Wola,LXXXVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. MICHAŁA KONARSKIEGO,"ogólnodostępny, profil mundurowy"
151,Liceum Ogólnokształcące Integracyjne w Białymstoku Zespołu Szkół Technicznych I Ogólnokształcących Z Oddziałami Integracyjnymi im. Stanisława Staszica w Białymstoku,Białymstoku,67.0125,Białystok ul. Sienkiewicza 57 15-002 Białystok,Białystok,151,110460,100,LICEUM OGÓLNOKSZTAŁCĄCE INTEGRACYJNE W BIAŁYMSTOKU ZESPOŁU SZKÓŁ TECHNICZNYCH I OGÓLNOKSZTAŁCĄCYCH Z ODDZIAŁAMI INTEGRACYJNYMI IM. STANISŁAWA STASZICA W BIAŁYMSTOKU,LICEUM OGÓLNOKSZTAŁCĄCE INTEGRACYJNE W BIAŁYMSTOKU ZESPOŁU SZKÓŁ TECHNICZNYCH I OGÓLNOKSZTAŁCĄCYCH Z ODDZIAŁAMI INTEGRACYJNYMI IM. STANISŁAWA STASZICA W BIAŁYMSTOKU,Białystok,57.19230769,67.94871795,liceum ogólnokształcące integracyjne w białymstoku zespołu szkół technicznych i ogólnokształcących z oddziałami integracyjnymi im. stanisława staszica w białymstoku,Miasto na prawach powiatu,PODLASKIE,110.0,Białystok,LICEUM OGÓLNOKSZTAŁCĄCE INTEGRACYJNE W BIAŁYMSTOKU ZESPOŁU SZKÓŁ TECHNICZNYCH I OGÓLNOKSZTAŁCĄCYCH Z ODDZIAŁAMI INTEGRACYJNYMI IM. STANISŁAWA STASZICA W BIAŁYMSTOKU,integracyjny
152,Liceum Ogólnokształcące Mistrzostwa Sportowego,Krakowie,195.4125,ul. Grochowska 20 31-521 Kraków Grzegórzki,Kraków,152,80067,90,SPOŁECZNE LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO,SPOŁECZNE LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO,Kraków,53.49917077,83.50410509,społeczne liceum ogólnokształcące mistrzostwa sportowego,Fundacje,MAŁOPOLSKIE,177.0,Kraków-Podgórze,SPOŁECZNE LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO,"ogólnodostępny, mistrzostwa sportowego"
153,Liceum Ogólnokształcące Mistrzostwa Sportowego,Poznaniu,140.15,os. Tysiąclecia 43 61-255 Poznań Nowe Miasto,Poznań,153,126415,100,LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO,LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO,Poznań,59.34460448666667,91.84637369333332,liceum ogólnokształcące mistrzostwa sportowego,Miasto na prawach powiatu,WIELKOPOLSKIE,569.0,Poznań-Nowe Miasto,LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO,"ogólnodostępny, sportowy, mistrzostwa sportowego"
154,Liceum Ogólnokształcące Mistrzostwa Sportowego,Szczecinie,282.3333333333333,ul. Mazurska 40 70-424 Szczecin,Szczecin,154,13676,100,LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO,LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO,Szczecin,64.50505050666668,91.07744107666667,liceum ogólnokształcące mistrzostwa sportowego,Miasto na prawach powiatu,ZACHODNIOPOMORSKIE,250.0,Szczecin,LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO,"ogólnodostępny, sportowy, mistrzostwa sportowego"
155,Liceum Ogólnokształcące Nr XV im. Mjr Piotra Wysockiego,Wroclaw,111.75714285714287,ul. Wojrowicka 58 54-436 Wrocław Fabryczna,Wrocław,155,11480,100,LICEUM OGÓLNOKSZTAŁCĄCE NR XV IM. MJR PIOTRA WYSOCKIEGO,LICEUM OGÓLNOKSZTAŁCĄCE NR XV IM. MJR PIOTRA WYSOCKIEGO,Wrocław,59.25032778,87.52755844333335,liceum ogólnokształcące nr xv im. mjr piotra wysockiego,Miasto na prawach powiatu,DOLNOŚLĄSKIE,1233.0,Wrocław-Fabryczna,LICEUM OGÓLNOKSZTAŁCĄCE NR XV IM. MJR PIOTRA WYSOCKIEGO,ogólnodostępny
156,Liceum Ogólnokształcące Z Oddziałami Integracyjnymi,Szczecinie,106.40625,al. Wojska Polskiego 119 70-490 Szczecin,Szczecin,156,3099,100,LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI,LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI,Szczecin,62.044234466666666,91.73117789999999,liceum ogólnokształcące z oddziałami integracyjnymi,Miasto na prawach powiatu,ZACHODNIOPOMORSKIE,415.0,Szczecin,LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI,integracyjny
157,Liceum Ogólnokształcące Z Oddziałami Sportowymi,Szczecinie,127.0,ul. Lucjana Rydla 49 70-783 Szczecin,Szczecin,157,13730,100,LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI SPORTOWYMI,LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI SPORTOWYMI,Szczecin,51.892110763333335,85.71680257999999,liceum ogólnokształcące z oddziałami sportowymi,Miasto na prawach powiatu,ZACHODNIOPOMORSKIE,211.0,Szczecin,LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI SPORTOWYMI,"ogólnodostępny, sportowy, mistrzostwa sportowego"
